pid,visit,model,r2,mse
21,0,CausalForestDML,0.12807521499437402,0.018840695595689995
22,0,CausalForestDML,0.29710321901757786,0.5978336841590505
25,0,CausalForestDML,0.27532066177142356,0.32574862528921494
26,0,CausalForestDML,0.03414247998161524,0.5196204781074215
28,0,CausalForestDML,-0.6393571811782508,0.022916315692098493
29,0,CausalForestDML,0.34399339563065356,0.0755746701385883
30,0,CausalForestDML,-0.0641920544441048,0.17132293004099527
35,0,CausalForestDML,0.14105621318527006,0.015551834242043015
21,0,RandomForestRegressor,-0.624943641799147,0.03511205214230962
22,0,RandomForestRegressor,0.10375183203313276,0.7622845326273178
25,0,RandomForestRegressor,0.20844264186447914,0.35581078091794405
26,0,RandomForestRegressor,-0.0008671628057261849,0.53845527200454
28,0,RandomForestRegressor,-1.8882144141165234,0.040373894145992614
29,0,RandomForestRegressor,-0.11241787212156695,0.12815513316772048
30,0,RandomForestRegressor,-0.18164528543897296,0.19023157683345218
35,0,RandomForestRegressor,-0.788724777252996,0.03238623023705986
21,0,GradientBoostingRegressor,-0.07515410796568012,0.023232108566000095
22,0,GradientBoostingRegressor,-0.16213944240637668,0.9884326165063536
25,0,GradientBoostingRegressor,-0.42577622027057904,0.6408967652624037
26,0,GradientBoostingRegressor,-0.2085852806217674,0.650205282181083
28,0,GradientBoostingRegressor,-2.5493261631208615,0.04961547110181496
29,0,GradientBoostingRegressor,-0.5923245658162644,0.18344236630182037
30,0,GradientBoostingRegressor,-0.3513845002468048,0.2175576778903954
35,0,GradientBoostingRegressor,-0.8587338119686665,0.03365379735851386
21,0,DecisionTreeRegressor,-4.30158842714903,0.11455760341633511
22,0,DecisionTreeRegressor,-0.8034297212561763,1.5338682201298508
25,0,DecisionTreeRegressor,-1.1376207608890505,0.9608760558172008
26,0,DecisionTreeRegressor,-1.1346864400487728,1.1484372856220648
28,0,DecisionTreeRegressor,-8.672839434576707,0.13521509812914717
29,0,DecisionTreeRegressor,-0.7895092060393396,0.20615885123047648
30,0,DecisionTreeRegressor,-1.0384282465878174,0.3281639798242791
35,0,DecisionTreeRegressor,-3.2802562372736137,0.07749731302254348
21,0,SVR,-0.318702824527453,0.028494749690981692
22,0,SVR,-0.893885131517858,1.610803116734836
25,0,SVR,-0.83689322655077,0.8256968451931341
26,0,SVR,-0.1893597588492426,0.6398621677897245
28,0,SVR,-0.8104238510739699,0.025307629712456602
29,0,SVR,0.0073940378808871055,0.11435230631079503
30,0,SVR,-0.05833054421432515,0.1703792929382397
35,0,SVR,-1.0402942886500095,0.03694108865929324
21,0,NearestNeighbors,-0.874329069311161,0.04050081388707933
22,0,NearestNeighbors,0.04861628714956179,0.8091788801583903
25,0,NearestNeighbors,0.08415530177386144,0.4116788428863421
26,0,NearestNeighbors,0.09717407959027557,0.48571018673866534
28,0,NearestNeighbors,-1.6290549379077093,0.036751144668583695
29,0,NearestNeighbors,-0.06950439165059996,0.12321132298426982
30,0,NearestNeighbors,-0.1550936042429094,0.1859570553304701
35,0,NearestNeighbors,-0.4081745235895442,0.025496076822377832
21,0,MLPRegressor,-0.13527834097827518,0.02453128298057684
22,0,MLPRegressor,0.13332268027307814,0.7371336859805512
25,0,MLPRegressor,0.3645986131920964,0.28561753777261667
26,0,MLPRegressor,-0.10176212979777732,0.5927356289934718
28,0,MLPRegressor,-1.764448698614466,0.03864379271302418
29,0,MLPRegressor,0.07182663855562177,0.10692940460564263
30,0,MLPRegressor,-0.4291304816745245,0.23007390490175705
35,0,MLPRegressor,-1.9089790678818437,0.05266929101965699
